filepaths,family,genus,species,serialnumber,clusterID
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Neoniphon_Neoniphon aurolineatus_980080676.jpg,Holocentridae,Neoniphon,aurolineatus_980080676.jpg,Neoniphon aurolineatus,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Ostichthys_Ostichthys japonicus_1311084969.jpg,Holocentridae,Ostichthys,japonicus_1311084969.jpg,Ostichthys japonicus,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Pristilepis_Pristilepis oligolepis_980562720.jpg,Holocentridae,Pristilepis,oligolepis_980562720.jpg,Pristilepis oligolepis,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron punctatissimum_-1419068112.jpg,Holocentridae,Sargocentron,punctatissimum_-1419068112.jpg,Sargocentron punctatissimum,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis murdjan_2102121744.jpg,Holocentridae,Myripristis,murdjan_2102121744.jpg,Myripristis murdjan,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Pristilepis_Pristilepis oligolepis_582604076.jpg,Holocentridae,Pristilepis,oligolepis_582604076.jpg,Pristilepis oligolepis,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron dorsomaculatum_1039643189.jpg,Holocentridae,Sargocentron,dorsomaculatum_1039643189.jpg,Sargocentron dorsomaculatum,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Myripristis_Myripristis berndti_540603881.jpg,Holocentridae,Myripristis,berndti_540603881.jpg,Myripristis berndti,10.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Sargocentron_Sargocentron melanospilos_-298942120.jpg,Holocentridae,Sargocentron,melanospilos_-298942120.jpg,Sargocentron melanospilos,1.0
/Users/shawn/Developer/randall_interested_edited/Holocentridae/Ostichthys_Ostichthys kaianus_1522036918.jpg,Holocentridae,Ostichthys,kaianus_1522036918.jpg,Ostichthys kaianus,1.0
